Amount,School Year,Region,Grade Level,Gender
"46,703",2016-2017,Region I - Ilocos Region,Grade 1,Male
"35,348",2016-2017,Region II - Cagayan Valley,Grade 1,Male
"102,642",2016-2017,Region III - Central Luzon,Grade 1,Male
"121,530",2016-2017,Region IV-A - CALABARZON,Grade 1,Male
"37,865",2016-2017,Region IV-B - MIMAROPA,Grade 1,Male
"74,066",2016-2017,Region V - Bicol Region,Grade 1,Male
"79,751",2016-2017,Region VI - Western Visayas,Grade 1,Male
"79,634",2016-2017,Region VII - Central Visayas,Grade 1,Male
"51,012",2016-2017,Region VIII - Eastern Visayas,Grade 1,Male
"40,808",2016-2017,Region IX - Zamboanga Peninsula,Grade 1,Male
"54,449",2016-2017,Region X - Northern Mindanao,Grade 1,Male
"53,707",2016-2017,Region XI - Davao Region,Grade 1,Male
"50,752",2016-2017,Region XII - Soccsksargen,Grade 1,Male
"33,456",2016-2017,CARAGA - CARAGA,Grade 1,Male
"53,728",2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 1,Male
"16,418",2016-2017,CAR - Cordillera Administrative Region,Grade 1,Male
"90,110",2016-2017,NCR - National Capital Region,Grade 1,Male
"43,240",2016-2017,Region I - Ilocos Region,Grade 1,Female
"32,559",2016-2017,Region II - Cagayan Valley,Grade 1,Female
"94,879",2016-2017,Region III - Central Luzon,Grade 1,Female
"113,428",2016-2017,Region IV-A - CALABARZON,Grade 1,Female
"34,439",2016-2017,Region IV-B - MIMAROPA,Grade 1,Female
"66,290",2016-2017,Region V - Bicol Region,Grade 1,Female
"72,333",2016-2017,Region VI - Western Visayas,Grade 1,Female
"71,239",2016-2017,Region VII - Central Visayas,Grade 1,Female
"46,603",2016-2017,Region VIII - Eastern Visayas,Grade 1,Female
"37,853",2016-2017,Region IX - Zamboanga Peninsula,Grade 1,Female
"49,551",2016-2017,Region X - Northern Mindanao,Grade 1,Female
"49,650",2016-2017,Region XI - Davao Region,Grade 1,Female
"47,691",2016-2017,Region XII - Soccsksargen,Grade 1,Female
"30,254",2016-2017,CARAGA - CARAGA,Grade 1,Female
"53,322",2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 1,Female
"14,712",2016-2017,CAR - Cordillera Administrative Region,Grade 1,Female
"84,316",2016-2017,NCR - National Capital Region,Grade 1,Female
"41,165",2017-2018,Region I - Ilocos Region,Grade 1,Male
"30,873",2017-2018,Region II - Cagayan Valley,Grade 1,Male
"92,996",2017-2018,Region III - Central Luzon,Grade 1,Male
"116,283",2017-2018,Region IV-A - CALABARZON,Grade 1,Male
"33,609",2017-2018,Region IV-B - MIMAROPA,Grade 1,Male
"66,624",2017-2018,Region V - Bicol Region,Grade 1,Male
