Level of Education,Year,Continent,Country,Number of teachers,Number of students,Ratio
Lower Secondary Education,2021,Africa,Botswana,10341,120668,11.66889
Lower Secondary Education,2021,Africa,Burkina Faso,51834,1041663,20.09613
Lower Secondary Education,2021,Africa,Burundi,13249,362440,27.35603
Lower Secondary Education,2021,Africa,Cabo Verde,2142,33421,15.60271
Lower Secondary Education,2021,Africa,Djibouti,1638,46342,28.29182
Lower Secondary Education,2021,Africa,Egypt,295610,5956893,20.15119
Lower Secondary Education,2021,Africa,Gambia,8446,119405,14.13746
Lower Secondary Education,2021,Africa,Ghana,131461,1819213,13.83842
Lower Secondary Education,2021,Africa,Mali,34503,730064,21.15944
Lower Secondary Education,2021,Africa,Morocco,78532,1823017,23.21368
Lower Secondary Education,2021,Africa,Nigeria,458459,7900751,17.23328
Lower Secondary Education,2021,Africa,Rwanda,11709,521631,44.54958
Lower Secondary Education,2021,Africa,Senegal,23126,860296,37.20038
Lower Secondary Education,2021,Africa,Sierra Leone,19986,536758,26.8567
Lower Secondary Education,2021,Africa,Togo,21794,630367,28.92388
Lower Secondary Education,2021,Africa,Tunisia,42547,564146,13.25936
Lower Secondary Education,2021,Asia,Armenia,11208,180816,16.13276
Lower Secondary Education,2021,Asia,Azerbaijan,90802,727820,8.015462
Lower Secondary Education,2021,Asia,Bangladesh,219706,7853383,35.74496
Lower Secondary Education,2021,Asia,Bhutan,1408,51493,36.57173
Lower Secondary Education,2021,Asia,Cambodia,17442,670233,38.42638
Lower Secondary Education,2021,Asia,China,3937921,49277220,12.51351
Lower Secondary Education,2021,Asia,"China, Macao Special Administrative Region",1353,14984,11.07465
Lower Secondary Education,2021,Asia,India,3491871,66006162,18.90281
Lower Secondary Education,2021,Asia,Indonesia,670994,13990973,20.85111
Lower Secondary Education,2021,Asia,Israel,31132,452369,14.53068
Lower Secondary Education,2021,Asia,Japan,280701,3275607,11.66938
Lower Secondary Education,2021,Asia,Jordan,38954,684083,17.5613
Lower Secondary Education,2021,Asia,Lao People's Democratic Republic,23901,420355,17.58734
Lower Secondary Education,2021,Asia,Nepal,55881,1764414,31.57449
Lower Secondary Education,2021,Asia,Pakistan,433979,8357298,19.25738
Lower Secondary Education,2021,Asia,Palestine,31424,577404,18.37462
Lower Secondary Education,2021,Asia,Philippines,358220,8331535,23.25815
Lower Secondary Education,2021,Asia,Qatar,4988,68017,13.63613
Lower Secondary Education,2021,Asia,Republic of Korea,103916,1362579,13.11231
Lower Secondary Education,2021,Asia,Saudi Arabia,120421,1461624,12.13762
Lower Secondary Education,2021,Asia,Sri Lanka,77435,1387795,17.92206
Lower Secondary Education,2021,Asia,Thailand,113884,2593790,22.77572
Lower Secondary Education,2021,Asia,Türkiye,370798,5212969,14.05878
Lower Secondary Education,2021,Asia,Uzbekistan,372191,2876753,7.729238
Lower Secondary Education,2021,Asia,Viet Nam,286668,5910423,20.61766
Lower Secondary Education,2021,Europe,Albania,14705,127958,8.701666
Lower Secondary Education,2021,Europe,Austria,43594.06,343086.5,7.870029
Lower Secondary Education,2021,Europe,Belarus,51544,507574,9.847393
