Level of Education,Year,Continent,Country,Number of teachers,Number of students,Ratio
Primary Education,2020,Africa,Algeria,200749,4852322,24.17109
Primary Education,2020,Africa,Benin,57002,2182724,38.29206
Primary Education,2020,Africa,Burkina Faso,87304,3240347,37.11568
Primary Education,2020,Africa,Burundi,51921,2302280,44.34198
Primary Education,2020,Africa,Cabo Verde,3110,61379,19.73601
Primary Education,2020,Africa,Cameroon,100347,4578708,45.62875
Primary Education,2020,Africa,Côte d'Ivoire,101085,4101430,40.57407
Primary Education,2020,Africa,Democratic Republic of the Congo,446205,18789020,42.10849
Primary Education,2020,Africa,Djibouti,2310,69134,29.92814
Primary Education,2020,Africa,Egypt,525396,13912595,26.48021
Primary Education,2020,Africa,Ethiopia,537596,20419152,37.98234
Primary Education,2020,Africa,Gambia,10780,393057,36.46169
Primary Education,2020,Africa,Ghana,185715,4584381,24.68503
Primary Education,2020,Africa,Guinea,43914,2107661,47.9952
Primary Education,2020,Africa,Kenya,307248,7612735,24.77717
Primary Education,2020,Africa,Liberia,29288,607558,20.74426
Primary Education,2020,Africa,Madagascar,129008,4774795,37.01162
Primary Education,2020,Africa,Mali,63784,2734067,42.86446
Primary Education,2020,Africa,Mauritius,5903,82514,13.97832
Primary Education,2020,Africa,Morocco,166728,4535919,27.2055
Primary Education,2020,Africa,Mozambique,124777,7219935,57.86271
Primary Education,2020,Africa,Namibia,19038,516519,27.13095
Primary Education,2020,Africa,Niger,73533,2895653,39.37896
Primary Education,2020,Africa,Nigeria,823581,30100084,36.54781
Primary Education,2020,Africa,Senegal,66447,2259988,34.01189
Primary Education,2020,Africa,Seychelles,623,9509,15.26324
Primary Education,2020,Africa,Sierra Leone,46677,1759773,37.70107
Primary Education,2020,Africa,Togo,41685,1634441,39.20933
Primary Education,2020,Africa,Tunisia,75548,1269412,16.80272
Primary Education,2020,Africa,United Republic of Tanzania,194736,10925896,56.1062
Primary Education,2020,Africa,Zambia,83160,3415770,41.07468
Primary Education,2020,Africa,Zimbabwe,75960,2869735,37.77956
Primary Education,2020,Asia,Armenia,8066,154905,19.20469
Primary Education,2020,Asia,Azerbaijan,40160,651258,16.21658
Primary Education,2020,Asia,Bhutan,2793,94165,33.71464
Primary Education,2020,Asia,Brunei Darussalam,4258,39649,9.311649
Primary Education,2020,Asia,Cambodia,51486,2165444,42.05889
Primary Education,2020,Asia,China,6526772,1.06E+08,16.27918
Primary Education,2020,Asia,"China, Hong Kong Special Administrative Region",29312,377202,12.86852
Primary Education,2020,Asia,"China, Macao Special Administrative Region",2540,33961,13.37047
Primary Education,2020,Asia,India,4600165,1.22E+08,26.4556
Primary Education,2020,Asia,Indonesia,1445912,29329969,20.28475
Primary Education,2020,Asia,Israel,81752.98,979555,11.98189
Primary Education,2020,Asia,Japan,436232,6.44E+06,14.76351
Primary Education,2020,Asia,Jordan,65410,1126254,17.21838
Primary Education,2020,Asia,Kazakhstan,90047,1513077,16.80319
Primary Education,2020,Asia,Kuwait,34105,2.79E+05,8.179387
Primary Education,2020,Asia,Kyrgyzstan,21919,565711,25.80916
Primary Education,2020,Asia,Lao People's Democratic Republic,34743,760566,21.8912
Primary Education,2020,Asia,Lebanon,40911,517092,12.63944
Primary Education,2020,Asia,Malaysia,255394,3081723,12.06654
Primary Education,2020,Asia,Mongolia,10735,342634,31.91747
Primary Education,2020,Asia,Nepal,201296,3522177,17.4975
Primary Education,2020,Asia,Oman,28143,303890,10.79807
Primary Education,2020,Asia,Palestine,23458,502889,21.43785
Primary Education,2020,Asia,Philippines,524646,13214472,25.18741
Primary Education,2020,Asia,Qatar,13131,163661,12.46371
Primary Education,2020,Asia,Republic of Korea,166424,2702647,16.23953
Primary Education,2020,Asia,Saudi Arabia,248318,3242120,13.05632
Primary Education,2020,Asia,Singapore,16725,232810,13.91988
Primary Education,2020,Asia,Sri Lanka,77927,1694722,21.74756
Primary Education,2020,Asia,Thailand,412997,4744152,11.48713
Primary Education,2020,Asia,Timor-Leste,7898.67,203273,25.73509
Primary Education,2020,Asia,Turkmenistan,22695,588703,25.93977
Primary Education,2020,Asia,Türkiye,309247,5279945,17.07355
Primary Education,2020,Asia,United Arab Emirates,24646,462333,18.75895
Primary Education,2020,Asia,Uzbekistan,121986,2508453,20.56345
Primary Education,2020,Asia,Viet Nam,377876,8718356,23.072
Primary Education,2020,Europe,Albania,9668,162170,16.77389
Primary Education,2020,Europe,Andorra,411,4246,10.3309
Primary Education,2020,Europe,Austria,32150.23,343980.5,10.69916
Primary Education,2020,Europe,Belarus,22266,434763,19.52587
Primary Education,2020,Europe,Belgium,75367,823725,10.92952
Primary Education,2020,Europe,Bosnia and Herzegovina,9443,152333,16.13184
Primary Education,2020,Europe,Bulgaria,22340,248354,11.11701
Primary Education,2020,Europe,Croatia,12632,156627,12.39922
Primary Education,2020,Europe,Cyprus,5117,59195,11.5683
Primary Education,2020,Europe,Denmark,44763,452253,10.10328
Primary Education,2020,Europe,Estonia,8184.64,89702,10.9598
Primary Education,2020,Europe,Finland,28460,373173,13.11219
Primary Education,2020,Europe,Georgia,32616,325016,9.964925
Primary Education,2020,Europe,Germany,256762.1,3014502,11.74045
Primary Education,2020,Europe,Gibraltar,228,2880,12.63158
Primary Education,2020,Europe,Greece,75601,625523,8.274004
Primary Education,2020,Europe,Hungary,37552,358766,9.553845
Primary Education,2020,Europe,Iceland,3377,32832,9.722239
Primary Education,2020,Europe,Italy,251650,2762544,10.97772
Primary Education,2020,Europe,Latvia,10457,120051,11.48044
Primary Education,2020,Europe,Liechtenstein,279,1978,7.089606
Primary Education,2020,Europe,Lithuania,8547,118616,13.87809
Primary Education,2020,Europe,Luxembourg,5009,40018,7.989219
Primary Education,2020,Europe,Malta,2143.66,27035,12.61161
Primary Education,2020,Europe,Monaco,176,1971,11.19886
Primary Education,2020,Europe,Netherlands,101724,1161942,11.4225
Primary Education,2020,Europe,North Macedonia,7435,108399,14.57956
